epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.932,1.63004,1.8028,1.28116,0.61062,0.60275,0.59159,0.29887,1.50338,1.44494,1.22694,0.000416496,0.000416496,0.000416496
2,735.505,1.55738,1.23638,1.23475,0.66642,0.62861,0.6367,0.34405,1.46231,1.19931,1.20462,0.000791921,0.000791921,0.000791921
3,1111.83,1.5366,1.1365,1.2186,0.70765,0.64509,0.67534,0.36074,1.45255,1.10306,1.19809,0.0011261,0.0011261,0.0011261
4,1495.25,1.51522,1.0692,1.20517,0.70628,0.66151,0.6987,0.38413,1.42186,0.99255,1.18113,0.00106437,0.00106437,0.00106437
5,1837.07,1.49167,1.02442,1.19384,0.74403,0.67454,0.72136,0.39919,1.39113,0.93176,1.1662,0.0010025,0.0010025,0.0010025
6,2179.43,1.46681,0.97328,1.17946,0.745,0.67338,0.72411,0.39658,1.38444,0.93277,1.17357,0.000940625,0.000940625,0.000940625
7,2570.84,1.44741,0.9548,1.17425,0.76879,0.70473,0.75259,0.42674,1.36658,0.88874,1.15241,0.00087875,0.00087875,0.00087875
8,2932.86,1.43097,0.91937,1.16199,0.75812,0.71598,0.75022,0.42741,1.35972,0.87556,1.15113,0.000816875,0.000816875,0.000816875
9,3310.33,1.42129,0.90907,1.16036,0.7726,0.70997,0.75913,0.43423,1.34423,0.85239,1.13789,0.000755,0.000755,0.000755
10,3697.58,1.4094,0.89232,1.15203,0.76529,0.72701,0.76727,0.44139,1.33853,0.82388,1.13888,0.000693125,0.000693125,0.000693125
11,4054.8,1.38075,0.84139,1.14543,0.77137,0.72172,0.77296,0.44302,1.33729,0.81837,1.13372,0.00063125,0.00063125,0.00063125
12,4421.24,1.37059,0.82208,1.13964,0.81155,0.72017,0.77823,0.44729,1.32607,0.80764,1.12672,0.000569375,0.000569375,0.000569375
13,4813.05,1.36046,0.8042,1.13314,0.79584,0.73656,0.78771,0.46101,1.31085,0.78341,1.12415,0.0005075,0.0005075,0.0005075
